,index,comment,author,relative_time_posted,url,ingestion_date
0,604ee9c1-b84d-4a68-b038-56c0983a856d,"Women’s Floor Exercise Final Results #Tokyo2021 #olympics

🥇 Jade Carey (14.366)
🥈 Vanessa Ferrari (14.200)
🥉 Mai Murakami (14.166)
🥉 Angelina Melnikova (14.166)

Congratulations to all the finalists. ✨❤️",sporteverywhere,1 week ago (edited),https://www.youtube.com/post/UgztpAi334lOeDl6Dox4AaABCQ,2021-08-10
1,84e59889-a8e0-4b25-a5bb-6248a7c2b6e2,"If you're wondering, Melnikova and Murakami were tied in both execution and difficulty. So they both get the medal.",,1 week ago,https://www.youtube.com/post/UgztpAi334lOeDl6Dox4AaABCQ,2021-08-10
2,1684d25f-e197-49da-b947-6fef0a17cc9b,"This was definitely the best event finals so far. Everyone hit their routines best they could, only 1 fall. So happy for Jade. After her disasterous vault, I couldn't fathom her leaving Tokyo without a medal. 🇺🇲🥇🇺🇲🥇🇺🇲",Myname,1 week ago,https://www.youtube.com/post/UgztpAi334lOeDl6Dox4AaABCQ,2021-08-10
3,3d40b384-10a3-4bd6-82d3-ef196151aeb4,"So gald they didn't do that tie breaker that was used in the 2008 uneven bars final
Both girls today deserved the bronze 🥉🎉",K Goulding123,1 week ago,https://www.youtube.com/post/UgztpAi334lOeDl6Dox4AaABCQ,2021-08-10
4,5bd25061-bc85-4bb5-82a1-d32cf353a73f,"All very deserving. Very diverse Podiums those Olympics, seems like all our ""favs"" get at least one medal. Especially happy for Vanessa and Mai. Excited for beam now.",Īlena Īreyøn,1 week ago,https://www.youtube.com/post/UgztpAi334lOeDl6Dox4AaABCQ,2021-08-10
5,428e08cc-7ae6-41d3-a2ad-e23e4f43c439,I'm so happy for Vanessa😍 She really had the performance of her life,Giulia Ferrucci,1 week ago,https://www.youtube.com/post/UgztpAi334lOeDl6Dox4AaABCQ,2021-08-10
6,c8bb307d-c98e-4505-ae78-502f7d98c845,"Unlike yesterday's, um, unexciting bars final, this was a great showcase for the ladies! So happy for Jade making a great comeback, for Vanessa for winning this individual medal, and for Mai and Gelya who both got a medal. Mai and Gelya were cute in their little flower exchange and Vanessa was a gem by giving fist bumps before taking her medal.",Hannah HBIC,1 week ago,https://www.youtube.com/post/UgztpAi334lOeDl6Dox4AaABCQ,2021-08-10
7,f3cd2db8-0301-41f3-b33f-547f3d5d695b,I’m so happy for Jade!!! 😭😭😭 She deserved it and earned it! What a trooper.,Hazel Tcha,1 week ago,https://www.youtube.com/post/UgztpAi334lOeDl6Dox4AaABCQ,2021-08-10
8,89e00c63-dc91-4f4d-8692-0c83904fc5d6,"Vanessa finally did it and i couldn't be happier!!! Still shaking and tearing up about it, i was crying before her floor routine even ended!!!",vale,1 week ago,https://www.youtube.com/post/UgztpAi334lOeDl6Dox4AaABCQ,2021-08-10
9,d52252bc-fc18-496f-aaac-da9d7017d902,Incredibly happy for Vanessa! She really deserved it after so many 4th places!,TheFlowMind,1 week ago,https://www.youtube.com/post/UgztpAi334lOeDl6Dox4AaABCQ,2021-08-10
