,index,comment,author,relative_time_posted,url,ingestion_date
0,9c228b1d-b94b-4858-8ec6-09739d945e75,"Women’s Balance Beam Final Results #Tokyo2021 #olympics

🥇 Guan Chenchen (14.633)
🥈 Tang Xijing (14.233)
🥉 Simone Biles (14.000)

Congratulations to all the finalists. ✨❤️",sporteverywhere,1 week ago,https://www.youtube.com/post/UgzKpXgQ2MubvDNGZtV4AaABCQ,2021-08-10
1,dc1bc884-d49d-417d-b04f-d21a727d8891,"Tang xijing was wonderful, and her sportsmaship is so underrated. Charisma and relaxed, enjoying all the time. 💜💜💜
Simone was incredible, that bronze shine like a gold. So proud of her for caring herself.
Guan Chen Chen was a surprise but no surprise at all, good job for her.",Luz S.,1 week ago,https://www.youtube.com/post/UgzKpXgQ2MubvDNGZtV4AaABCQ,2021-08-10
2,86f8ee62-bea1-4b9b-953e-1fa261b54cf2,"So much talent. Congrats to China for well deserved beam medals. Congrats Simone, it was tough competition and you came out with a medal.",Invisible woman,1 week ago,https://www.youtube.com/post/UgzKpXgQ2MubvDNGZtV4AaABCQ,2021-08-10
3,5bcf3430-7dab-403c-b759-10604381536d,"I felt horrible for Flavia, I really wanted her to get a beam medal.",Sleepy,1 week ago,https://www.youtube.com/post/UgzKpXgQ2MubvDNGZtV4AaABCQ,2021-08-10
4,0e7d2e66-de94-42fa-ad1f-4ea9c8da3f94,"I wish Urara had gotten a medal!! I love her beam so much, she has her own unique style, precise like clockwork! 
Otherwise, good job everyone and happy for all three of the medalists.
China deserved to get gold and silver on beam because they were the best all quad. Plus they finally got medals at these Olympics which redeemed the team’s performance. ",Masha Whitecat,1 week ago,https://www.youtube.com/post/UgzKpXgQ2MubvDNGZtV4AaABCQ,2021-08-10
5,35ab7b8a-c544-4f69-ba9e-6682c79b8363,"I wanted Suni to clinch another medal, but still so happy with this podium. Excited that both GCC and TXJ were able to hit beautiful routines and win medals for China after a rough competition thus far. 

But maybe I was most impressed by Suni’s sportsmanship. Cheering for her competitors and wishing for their success is something special.",k wan,1 week ago,https://www.youtube.com/post/UgzKpXgQ2MubvDNGZtV4AaABCQ,2021-08-10
6,3a2d7609-64a8-4ee3-8120-42a4f8e9d850,Happy for Guan but I feel so bad for Ellie.  being through that ankle injury not being able to do AA must have been so hard. And she was in third for almost the whole final but got the medal ripped away. ☹️,Cayden Costello,1 week ago (edited),https://www.youtube.com/post/UgzKpXgQ2MubvDNGZtV4AaABCQ,2021-08-10
7,15e50db4-dd21-47d0-b3ff-8abc4d91610a,"Finally, a couple of medals to China on WAG for this Olympics games.",Fernando Núñez,1 week ago,https://www.youtube.com/post/UgzKpXgQ2MubvDNGZtV4AaABCQ,2021-08-10
8,6b5610cf-e363-4902-9a3e-7690fc84740c,"It's bronze for Simone and I'm so proud of her, with a 0.7 lower difficulty but a very consistent and safe routine. She deserves it after all the problems and difficulties here in Tokyo over the last few days. I hope she does what she really wants to do now, whether that is to continue or stop gymnastics remains to be seen. And of course congratulations to the two Chinese women Guan and Tang, who really deserve gold and silver",Interzoo 04,1 week ago,https://www.youtube.com/post/UgzKpXgQ2MubvDNGZtV4AaABCQ,2021-08-10
9,f73cde78-4923-4ac3-8fc8-98110dd13e34,"i’m so proud of simone! that bronze represents a “bent but not broken” mindset, and i see it as the hardest earned, most deserved  medal of her career",Lolly Mae,1 week ago,https://www.youtube.com/post/UgzKpXgQ2MubvDNGZtV4AaABCQ,2021-08-10
