,index,comment,author,relative_time_posted,url,ingestion_date
0,63f7f42a-4e98-40fd-a6ab-5fe403ae5666,What was your favorite bronze moment of the Tokyo #olympics? 🥉 #Tokyo2021,sporteverywhere,4 days ago,https://www.youtube.com/post/UgwPq5Sg6P7ncQz5SCJ4AaABCQ,2021-08-10
1,9446ed90-356b-46bc-9cd6-67e6d70e85b3,"The GB bronze nearly brought me to tears. The two young twins Jessica and Jennifer Gadirova were so full of light and joy I couldn't help but smile. For me that encapsulated that even if gymnastics is a Tough sport, it's okay to smile and be happy❤️",Andrew Kimani,4 days ago,https://www.youtube.com/post/UgwPq5Sg6P7ncQz5SCJ4AaABCQ,2021-08-10
2,0974991d-7a66-4942-9a70-0a006865e942,One of my favorite Bronze moments was when Nikita Nagornyy won Bronze on the Horizontal Bar after two/three days of rather disappointing results. Usually a Bronze medal wouldn’t make him happy like when he won Bronze in the Individual All-Round (he felt ashamed and apologized for only getting Bronze) but after finishing second to last in the Floor finals (arguably his strongest apparatus) and 5th on Vault that Bronze Medal finally brought back his beautiful smile,SarahZ1998,4 days ago,https://www.youtube.com/post/UgwPq5Sg6P7ncQz5SCJ4AaABCQ,2021-08-10
3,9017a4c3-a2ed-45ec-8353-9329eba77e86,"I was close to tears when I saw Mai's score, then the commentators announced that because Gelya and her also tied in difficulty/execution score both would get the medal and I was incredibly happy and just prayed that no one would get ahead of them. ",Marie Helene,4 days ago (edited),https://www.youtube.com/post/UgwPq5Sg6P7ncQz5SCJ4AaABCQ,2021-08-10
4,656d4219-2aaa-4213-9022-650d2637491d,"This one might be one of the hardest decisions for me because GB's bronze, the floor final tie, and Simone's bronze were all some of my favorite moments from this Olympics.",Kira Alldredge,4 days ago,https://www.youtube.com/post/UgwPq5Sg6P7ncQz5SCJ4AaABCQ,2021-08-10
5,6a6b75e2-8023-42e2-b3cf-09ea41835ec0,"Akiyo Noguchi's Bronze in the Women's combined Sport Climbing. She is an absolute legend of Climbing, & announced her retirement plans (after the games) years prior to the Olympics. The fact that she managed to come away with a medal in her final competition; at Climbing's first ever Olympics, in her home country no less was a very emotional occasion.",Dan Flak,2 days ago (edited),https://www.youtube.com/post/UgwPq5Sg6P7ncQz5SCJ4AaABCQ,2021-08-10
6,3738a1f7-f097-4c35-92fa-b5b58ba45763,The sad thing is most people still think a medal redeems her.  Her going up there redeems her regardless of placement,John Corella,4 days ago,https://www.youtube.com/post/UgwPq5Sg6P7ncQz5SCJ4AaABCQ,2021-08-10
7,b9d08a09-6036-4bcb-8779-b72885283b69,"Angelina and Mai. When I saw Mai’s scores I was happy to see them both on the podium. That rarely happens in this sport. It was nice to see 4 (half) on the podium, than just 3.",mxnkeyboi,4 days ago,https://www.youtube.com/post/UgwPq5Sg6P7ncQz5SCJ4AaABCQ,2021-08-10
8,948f538d-cd27-4ea9-a29b-15ff208e8958,i feel like the bronze moments are much more memorable and iconic than the silver/gold ones,Hadi,4 days ago,https://www.youtube.com/post/UgwPq5Sg6P7ncQz5SCJ4AaABCQ,2021-08-10
9,cd1d9272-5e87-448a-98bb-a6a791559476,"All the bronze medal moments were amazing. I didn’t realize Mai and Gelya were tied in e and d scores are first, so I was really nervous about the tie break because I just wanted them both to medal, and I was in tears when they did! 

GB bronze was delightful. Love the Gadirovas! I just want the best for them. ",lexie,4 days ago,https://www.youtube.com/post/UgwPq5Sg6P7ncQz5SCJ4AaABCQ,2021-08-10
