,index,comment,author,relative_time_posted,url,ingestion_date
0,ed0e2377-e607-4566-990e-aa1c3f954027,"Women’s All-Around Final Results #Tokyo2021

🥇 Sunisa Lee (57.433)
🥈 Rebeca Andrade (57.298)
🥉 Angelina Melnikova (57.199) 

Congratulations to all the AA finalists. Such an exciting and fun competition. ✨❤️",sporteverywhere,1 week ago,https://www.youtube.com/post/UgxFNIzJk_7YUTZJtKV4AaABCQ,2021-08-10
1,c1c4171c-a20e-45cc-8351-e5e2eee50654,"Queen Suni carrying Simone's (and USA's) legacy, the fifth consecutive American AA champion. 
Rebecca, the first AA medalist from Brazil, such a historic moment for Brazilian gymnastics.
Angelina, proudly carrying Mustafina's legacy. Be proud of your bronze, girl, you've earned it. Congratulations ladies!❤",For the love of cats,1 week ago,https://www.youtube.com/post/UgxFNIzJk_7YUTZJtKV4AaABCQ,2021-08-10
2,66e20173-95d7-46a8-b5ed-dc9f77fb489f,Rebecca was so close to gold. If not for those OOBs she couldve had it. That hurts a little 😔,snowfire18,1 week ago,https://www.youtube.com/post/UgxFNIzJk_7YUTZJtKV4AaABCQ,2021-08-10
3,1d2178ca-c093-41f2-a834-5cb0130da7bc,"I was rooting for Suni since the very beginning but Rebecca had such a brilliant competition, she could've been a very proud Olympic champion! Such an amazing competition and deserving podium, hope they'll all stick around for Paris, so excited to see more of these incredibly talented athletes.",Eureka Mreum,1 week ago,https://www.youtube.com/post/UgxFNIzJk_7YUTZJtKV4AaABCQ,2021-08-10
4,09c289e7-3378-4641-a9c9-d524392a8bcf,Rebeca Andrade🥈!!!!! The first female South American gymnast to win an Olympic medal.,Sean Cato,1 week ago (edited),https://www.youtube.com/post/UgxFNIzJk_7YUTZJtKV4AaABCQ,2021-08-10
5,a0bffe07-bcfe-4411-a3d6-5a00ec350f1f,"Awwwww can’t be too disappointed for Vlada, best beam of the night and always felt it was going to be incredibly close(and already an Olympic Gold medalist). Amazing final really. It’s been awhile since Suni hit her AA like that, especially floor. 😝
Rebeca representing Brazil like a queen and Angelina carrying on Aliya’s double bronze tradition, hope she medals in floor and bars too.",Paul Perry,1 week ago (edited),https://www.youtube.com/post/UgxFNIzJk_7YUTZJtKV4AaABCQ,2021-08-10
6,c251f5a6-74ea-4d05-9e7a-4a1cc1d4bb6c,Congrats to Suni for being a big winner not only for the US but also the Hmong community! Huge congrats to Rebeca for being the first Brazilian woman to win an Olympic medal in gymnastics. And congrats to Melnikova for getting the individual Olympic success she deserves!,MaTtHeW jOhN lOrEnZo SaM tOdD-aDrIk,1 week ago,https://www.youtube.com/post/UgxFNIzJk_7YUTZJtKV4AaABCQ,2021-08-10
7,ccc4f70e-375a-479d-9547-269279125bcc,"SUNISA LEE is our AA CHAMP and I couldn’t be prouder 😭😭😭

Y’all know Chanel Oberlin is pissed right now 💀💀💀",Adam K,1 week ago,https://www.youtube.com/post/UgxFNIzJk_7YUTZJtKV4AaABCQ,2021-08-10
8,2e80ab30-f864-4548-8d39-02965e841e55,"Worthy podium! Great competition!
And don't forget Vlada, that landed just half a step away behind the leaders.",Queen of Nevers,1 week ago (edited),https://www.youtube.com/post/UgxFNIzJk_7YUTZJtKV4AaABCQ,2021-08-10
9,17573635-522d-4ac6-a0b1-d232a00d33b5,"I am very happy with this podium!  Well-deserved medals won with all three.  Suni was a fighter who never gave up, Rebeca became the first South American gymnast to claim an AA medal in women's gymnastics, and Angelina getting a bronze after not qualifying to the all-around in 2016.  Proud of them all!!",Marisa,1 week ago (edited),https://www.youtube.com/post/UgxFNIzJk_7YUTZJtKV4AaABCQ,2021-08-10
