,index,comment,author,relative_time_posted,url,ingestion_date
0,641aaabf-d51e-45e6-bad8-69d10d5681ac,"Who do you think will be the new Uneven Bars Olympic Gold Medalist? 🥇 #olympics #tokyo2021

⬇️ This is the qualification order. There are only 5 options available, I had to put 5th-8th in the same box.",sporteverywhere,1 week ago,https://www.youtube.com/post/Ugysi2vSLlD6zvrbed54AaABCQ,2021-08-10
1,fa0b8083-6f3f-42ef-87bf-df19ac6e811f,"It's sad because Becky Downie should be on that pole, but I think it's between Nina and Suni, because sometimes Nina is better and sometimes Suni is, so it's gonna probably go down to a few tenths.",Sun flower,1 week ago,https://www.youtube.com/post/Ugysi2vSLlD6zvrbed54AaABCQ,2021-08-10
2,763f9850-de79-46f2-97d2-6568bfcc4b72,"Ugh this is so hard!!! I think it will end up being real close, possibly a tie breaker, between Nina and Suni",Triplex30,1 week ago,https://www.youtube.com/post/Ugysi2vSLlD6zvrbed54AaABCQ,2021-08-10
3,92875369-9274-4afe-8c90-69a189c77fef,"This Olympics has been full of surprises and unpredictable wins, so I'm gonna say Anastasia Ilyankova 🤣. But seriously Nastia has improved so much, and cleaned up her execution, she actually has a shot.",For the love of cats,1 week ago,https://www.youtube.com/post/Ugysi2vSLlD6zvrbed54AaABCQ,2021-08-10
4,10be29b2-907e-496e-ac01-174f7ea0c8bb,plsss let fan have a medal on this final 😭😭 i feel like whoever just has the better day between suni and nina will have the gold.,Euchie Robles,1 week ago,https://www.youtube.com/post/Ugysi2vSLlD6zvrbed54AaABCQ,2021-08-10
5,9d09dc06-e11e-4f01-88d2-a19926fd2697,"I really hope Nina gets it, she was cleaner in the AA",vale,1 week ago,https://www.youtube.com/post/Ugysi2vSLlD6zvrbed54AaABCQ,2021-08-10
6,c9cf109a-0d7a-48da-b9c3-3dbfe05731ef,"Probably going to be Nina or Suni, but I'm leaning towards Nina because she's such a rock and almost never falters.",MC Wyman,1 week ago,https://www.youtube.com/post/Ugysi2vSLlD6zvrbed54AaABCQ,2021-08-10
7,a0eb2497-daf1-4080-b955-d0b900d53293,So excited for this final. Havent been excited for a bar final since 2012!,HydroDiffusion,1 week ago,https://www.youtube.com/post/Ugysi2vSLlD6zvrbed54AaABCQ,2021-08-10
8,cce6b9ac-c309-4f29-92eb-07ff94b54cad,"It's crazy to think that if they replicate their performances from AA, Suni will be Olympic champion on Uneven Bars 😳",coolness06,1 week ago,https://www.youtube.com/post/Ugysi2vSLlD6zvrbed54AaABCQ,2021-08-10
9,24d458c0-c952-46be-aa6b-7f15c927d01d,"I want Suni to win, but she has already won the All-Around so yeah it's okay for her to get silver on this :P But I'm happy as long as Nina or Suni wins!",pinklabbit,1 week ago (edited),https://www.youtube.com/post/Ugysi2vSLlD6zvrbed54AaABCQ,2021-08-10
10,45bc4ad4-00ff-42b0-b0b4-c4f4f4e2b9b4,It’s either suni or nina ... both of them are absolutely gorgeous on bars ❤️,Angel QueenBees,1 week ago (edited),https://www.youtube.com/post/Ugysi2vSLlD6zvrbed54AaABCQ,2021-08-10
11,06243158-c584-4585-b0d2-823f70bcd14f,I think it's 50/50 between Nina and Suni...may the best (that day) win,Flavinha Luiz,1 week ago,https://www.youtube.com/post/Ugysi2vSLlD6zvrbed54AaABCQ,2021-08-10
12,45a769be-439d-478b-a87d-1c4d0ee107fe,for some reason i see Nina taking the gold but i'd be super happy with a Suni win too,Hadi,1 week ago,https://www.youtube.com/post/Ugysi2vSLlD6zvrbed54AaABCQ,2021-08-10
13,5d3cae63-b3de-49c8-ab59-851a0f3ee641,"Clearly this is a battle between Suni and Nina and if they both perform up to their potential, it will be phenomenal gymnastics. If everyone hits I think it will be
🥇 Suni
🥈 Nina",Paul Perry,1 week ago (edited),https://www.youtube.com/post/Ugysi2vSLlD6zvrbed54AaABCQ,2021-08-10
